runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
152.994s : 	81102	288	699	2.42708	134217681	5.20796e-06
153.228s : 	81050	285	574	2.01403	134217720	4.27663e-06
153.476s : 	81009	285	573	2.01053	134217722	4.26918e-06
153.701s : 	80961	289	567	1.96194	134217691	4.22448e-06
153.954s : 	80907	284	700	2.46479	134217718	5.21541e-06
154.221s : 	80872	284	513	1.80634	134217728	3.82215e-06
154.457s : 	80817	284	679	2.39085	134217723	5.05894e-06
154.696s : 	80770	282	611	2.16667	134217670	4.55231e-06
154.951s : 	80746	280	449	1.60357	134217636	3.34531e-06
155.171s : 	80709	278	514	1.84892	134215447	3.82966e-06
155.422s : 	80656	280	685	2.44643	134217682	5.10365e-06
155.651s : 	80599	279	687	2.46237	134217698	5.11855e-06
155.875s : 	80564	279	437	1.56631	134217683	3.2559e-06
156.135s : 	80531	278	588	2.11511	134217713	4.38094e-06
156.364s : 	80487	276	715	2.59058	134217688	5.32717e-06
156.607s : 	80441	281	604	2.14947	134217696	4.50015e-06
156.855s : 	80385	276	668	2.42029	134217670	4.97699e-06
157.091s : 	80352	275	438	1.59273	134217676	3.26336e-06
157.328s : 	80322	272	483	1.77574	134217663	3.59863e-06
157.548s : 	80292	274	438	1.59854	134217686	3.26336e-06
157.777s : 	80252	271	638	2.35424	134217584	4.75348e-06
158.013s : 	80227	271	448	1.65314	134217725	3.33786e-06
158.263s : 	80172	271	761	2.80812	134217221	5.66991e-06
158.49s : 	80142	271	409	1.50923	134217661	3.04729e-06
158.724s : 	80119	270	481	1.78148	134217698	3.58373e-06
158.971s : 	79907	301	275	0.913621	134217672	2.04891e-06
159.211s : 	79861	278	602	2.16547	134217726	4.48525e-06
159.444s : 	79804	273	651	2.38462	134217706	4.85033e-06
159.69s : 	79761	270	601	2.22593	134217695	4.4778e-06
159.931s : 	79709	270	626	2.31852	134217720	4.66406e-06
160.163s : 	79658	269	629	2.33829	134217705	4.68642e-06
160.414s : 	79628	269	522	1.94052	134217687	3.8892e-06
160.661s : 	79586	275	510	1.85455	134217719	3.7998e-06
160.907s : 	79379	303	253	0.834984	134217723	1.885e-06
161.157s : 	79344	268	514	1.91791	134217672	3.8296e-06
161.434s : 	79293	269	706	2.62454	134217720	5.26011e-06
161.647s : 	79222	269	715	2.65799	134217705	5.32717e-06
161.885s : 	79175	269	673	2.50186	134217722	5.01424e-06
162.098s : 	79133	268	496	1.85075	134213759	3.6956e-06
162.347s : 	79101	268	491	1.83209	134217707	3.65824e-06
162.624s : 	79050	269	809	3.00743	134217678	6.02752e-06
162.822s : 	78996	270	701	2.5963	134216681	5.2229e-06
163.043s : 	78971	268	380	1.41791	134217636	2.83122e-06
163.285s : 	78757	304	236	0.776316	134217711	1.75834e-06
163.523s : 	78716	268	591	2.20522	134217711	4.40329e-06
163.77s : 	78672	268	713	2.66045	134217724	5.31226e-06
164.009s : 	78644	268	423	1.57836	134217703	3.1516e-06
164.234s : 	78612	269	529	1.96654	134217699	3.94136e-06
164.477s : 	78569	268	573	2.13806	134217724	4.26918e-06
164.716s : 	78526	266	599	2.25188	134217718	4.4629e-06
164.959s : 	78473	265	652	2.46038	134217695	4.85778e-06
165.205s : 	78445	263	504	1.91635	134217725	3.75509e-06
165.433s : 	78392	263	699	2.65779	134217725	5.20796e-06
165.695s : 	78324	280	606	2.16429	134217710	4.51505e-06
165.944s : 	78279	264	518	1.96212	134217545	3.85941e-06
166.173s : 	78223	269	659	2.44981	134217685	4.90993e-06
166.393s : 	78188	263	528	2.0076	134217724	3.93391e-06
166.627s : 	78160	263	429	1.63118	134217726	3.1963e-06
166.872s : 	78120	262	526	2.00763	134217665	3.91901e-06
167.116s : 	78088	260	410	1.57692	134217726	3.05474e-06
167.362s : 	78056	263	390	1.48289	134217716	2.90573e-06
167.597s : 	78006	265	459	1.73208	134217727	3.41982e-06
167.849s : 	77961	260	674	2.59231	134217727	5.02169e-06
168.063s : 	77904	258	640	2.48062	134217646	4.76837e-06
168.304s : 	77866	258	548	2.12403	134217715	4.08292e-06
168.557s : 	77816	259	656	2.53282	134217514	4.88759e-06
168.793s : 	77782	259	590	2.27799	134217699	4.39584e-06
169.039s : 	77725	259	714	2.75676	134217696	5.31972e-06
169.283s : 	77696	257	484	1.88327	134217663	3.60608e-06
169.53s : 	77670	257	497	1.93385	134217646	3.70294e-06
169.762s : 	77641	257	502	1.95331	134217703	3.74019e-06
169.994s : 	77601	257	659	2.5642	134217726	4.90993e-06
170.256s : 	77571	257	464	1.80545	134217711	3.45707e-06
170.495s : 	77532	256	521	2.03516	134217584	3.88176e-06
170.729s : 	77497	256	463	1.80859	134217690	3.44962e-06
170.973s : 	77470	255	453	1.77647	134217719	3.37511e-06
171.215s : 	77461	255	247	0.968627	134217686	1.84029e-06
171.463s : 	77222	332	302	0.909639	134217717	2.25008e-06
171.701s : 	77191	255	530	2.07843	134217723	3.94881e-06
171.954s : 	77133	255	672	2.63529	134217630	5.00679e-06
172.192s : 	77106	254	426	1.67717	134217644	3.17395e-06
172.442s : 	77062	252	598	2.37302	134217677	4.45545e-06
172.68s : 	77026	252	630	2.5	134217705	4.69387e-06
172.947s : 	76954	279	652	2.33692	134217722	4.85778e-06
173.128s : 	76918	253	503	1.98814	134217709	3.74764e-06
173.391s : 	76879	260	582	2.23846	134217702	4.33624e-06
173.638s : 	76842	257	511	1.98833	134217697	3.80725e-06
173.879s : 	76776	282	530	1.87943	134217717	3.94881e-06
174.126s : 	76746	255	474	1.85882	134217696	3.53158e-06
174.395s : 	76704	256	522	2.03906	134201989	3.88966e-06
174.646s : 	76664	254	485	1.90945	134217654	3.61353e-06
174.89s : 	76629	253	558	2.20553	134217148	4.15744e-06
175.13s : 	76587	253	587	2.32016	134217698	4.37349e-06
175.368s : 	76543	253	588	2.32411	134217656	4.38094e-06
175.624s : 	76515	251	417	1.66135	134217590	3.1069e-06
175.866s : 	76496	249	423	1.6988	134217723	3.1516e-06
176.103s : 	76454	249	618	2.48193	134217726	4.60446e-06
176.356s : 	76391	248	657	2.64919	134217663	4.89503e-06
176.588s : 	76339	248	662	2.66935	134217710	4.93228e-06
176.82s : 	76287	246	644	2.61789	134217699	4.79818e-06
177.065s : 	76249	245	548	2.23673	134217603	4.08292e-06
177.33s : 	76194	247	707	2.86235	134217712	5.26756e-06
177.565s : 	76160	246	493	2.00407	134217637	3.67314e-06
177.794s : 	76118	246	597	2.42683	134217679	4.448e-06
178.049s : 	76067	246	632	2.56911	134217709	4.70877e-06
178.275s : 	76035	245	574	2.34286	134217667	4.27664e-06
178.5s : 	75992	246	715	2.9065	134217690	5.32717e-06
178.746s : 	75965	245	596	2.43265	134217692	4.44055e-06
178.979s : 	75906	245	668	2.72653	134217508	4.977e-06
179.221s : 	75860	245	571	2.33061	134217700	4.25428e-06
179.463s : 	75811	246	626	2.54472	134217710	4.66406e-06
179.705s : 	75754	246	694	2.82114	134217726	5.1707e-06
179.955s : 	75722	246	569	2.31301	134217713	4.23938e-06
180.159s : 	75681	243	540	2.22222	134217728	4.02331e-06
180.414s : 	75627	245	682	2.78367	134217728	5.0813e-06
180.64s : 	75573	244	751	3.07787	134217726	5.59539e-06
180.891s : 	75528	250	620	2.48	134217683	4.61936e-06
181.151s : 	75474	255	632	2.47843	134217682	4.70877e-06
181.39s : 	75419	245	645	2.63265	134217487	4.80563e-06
181.614s : 	75387	252	378	1.5	134217664	2.81632e-06
181.849s : 	75360	244	497	2.03689	134217709	3.70294e-06
182.086s : 	75311	249	535	2.14859	134216863	3.98609e-06
182.342s : 	75280	244	591	2.42213	134217724	4.40329e-06
182.565s : 	75242	244	480	1.96721	134217699	3.57628e-06
182.802s : 	75209	244	471	1.93033	134217711	3.50922e-06
183.068s : 	75153	244	706	2.89344	134217698	5.26011e-06
183.314s : 	75113	245	636	2.59592	134217664	4.73857e-06
183.589s : 	75074	243	580	2.38683	134217671	4.32134e-06
183.742s : 	75038	252	507	2.0119	134217631	3.77745e-06
183.977s : 	75021	240	474	1.975	134217447	3.53158e-06
