runtime 	  walksum  	 nwalks  	  total_edges  
692.655s : 	362	21	0
694.596s : 	360	22	0
696.553s : 	357	22	0
698.508s : 	353	24	0
699.609s : 	350	22	0
700.721s : 	348	24	0
702.643s : 	346	21	0
704.542s : 	345	22	0
706.466s : 	343	22	0
706.466s : 	341	21	0
707.565s : 	338	25	0
707.565s : 	334	24	0
709.137s : 	328	22	0
710.502s : 	327	20	0
712.39s : 	321	22	0
714.415s : 	319	20	0
715.831s : 	313	20	0
715.831s : 	309	20	0
717.764s : 	304	21	0
719.166s : 	301	17	0
719.166s : 	293	26	0
719.166s : 	282	21	0
719.166s : 	271	22	0
721.113s : 	266	21	0
721.114s : 	258	21	0
722.308s : 	251	21	0
722.308s : 	245	14	0
724.237s : 	236	20	0
726.113s : 	232	7	0
728.079s : 	225	19	0
730.036s : 	218	19	0
731.965s : 	213	18	0
731.966s : 	208	17	0
731.966s : 	197	16	0
733.205s : 	192	16	0
735.137s : 	182	17	0
737.102s : 	177	15	0
739.045s : 	171	14	0
740.092s : 	164	15	0
741.588s : 	158	13	0
743.625s : 	151	12	0
744.732s : 	145	8	0
744.733s : 	139	12	0
746.678s : 	134	11	0
746.678s : 	128	10	0
746.678s : 	121	9	0
746.678s : 	116	9	0
746.678s : 	112	9	0
748.626s : 	107	9	0
750.104s : 	100	9	0
752.05s : 	93	9	0
753.45s : 	90	8	0
754.892s : 	85	8	0
754.892s : 	80	8	0
754.892s : 	72	8	0
754.892s : 	67	8	0
756.003s : 	62	6	0
757.702s : 	57	6	0
759.571s : 	51	6	0
761.526s : 	46	6	0
762.99s : 	43	5	0
764.958s : 	39	5	0
766.769s : 	34	5	0
768.119s : 	31	4	0
770.068s : 	28	5	0
772s : 	25	4	0
773.982s : 	22	4	0
773.982s : 	20	3	0
773.983s : 	17	3	0
773.983s : 	15	2	0
775.399s : 	14	1	0
775.4s : 	12	2	0
775.4s : 	10	2	0
775.4s : 	8	2	0
775.4s : 	7	1	0
776.529s : 	6	1	0
778.494s : 	5	1	0
780.4s : 	4	1	0
781.609s : 	3	1	0
783.548s : 	2	1	0
785.105s : 	1	1	0
785.105s : 	0	1	0
