runtime 	  walksum  	 nwalks  	  total_edges  
661.362s : 	25635	1768	0
663.191s : 	25622	1634	0
665.065s : 	25606	1645	0
666.923s : 	25586	1666	0
668.827s : 	25567	1653	0
668.828s : 	25549	1652	0
670.696s : 	25540	1566	0
672.617s : 	25532	1548	0
672.618s : 	25520	1586	0
674.519s : 	25500	1602	0
674.519s : 	25478	1606	0
674.519s : 	25471	1522	0
674.52s : 	25454	1572	0
674.52s : 	25410	1672	0
674.52s : 	25385	1594	0
674.52s : 	25359	1605	0
676.367s : 	25345	1569	0
676.368s : 	25339	1514	0
678.278s : 	25322	1562	0
680.189s : 	25297	1586	0
680.189s : 	25291	1487	0
682.079s : 	25275	1540	0
683.963s : 	25266	1498	0
685.879s : 	25254	1507	0
686.929s : 	25098	1857	0
688.86s : 	25073	1546	0
690.719s : 	25043	1566	0
692.627s : 	25004	1594	0
694.467s : 	24932	1689	0
696.375s : 	24890	1599	0
698.199s : 	24847	1600	0
700.086s : 	24794	1611	0
701.944s : 	24734	1636	0
703.857s : 	24659	1673	0
705.76s : 	24526	1740	0
705.76s : 	24387	1766	0
707.64s : 	24362	1548	0
709.525s : 	24332	1558	0
711.432s : 	24316	1510	0
711.438s : 	24288	1549	0
713.348s : 	24248	1574	0
713.348s : 	24222	1547	0
713.348s : 	24209	1507	0
713.349s : 	24203	1464	0
713.349s : 	24197	1436	0
713.349s : 	24191	1432	0
713.349s : 	24179	1462	0
715.267s : 	24162	1496	0
715.267s : 	24135	1518	0
718.115s : 	24129	1430	0
718.115s : 	24118	1450	0
720.017s : 	24101	1486	0
721.88s : 	24066	1532	0
723.733s : 	24022	1557	0
725.619s : 	24005	1484	0
727.547s : 	23982	1501	0
729.456s : 	23968	1462	0
730.51s : 	23812	1867	0
732.369s : 	23736	1609	0
734.251s : 	23681	1573	0
736.117s : 	23600	1613	0
737.997s : 	23574	1507	0
739.925s : 	23526	1550	0
739.925s : 	23489	1523	0
741.862s : 	23437	1558	0
743.851s : 	23381	1562	0
745.743s : 	23341	1534	0
747.65s : 	23324	1467	0
749.576s : 	23292	1511	0
752.099s : 	23229	1564	0
752.1s : 	23175	1551	0
754.075s : 	23132	1531	0
754.075s : 	23126	1353	0
754.076s : 	23117	1366	0
754.076s : 	23105	1371	0
754.076s : 	23090	1396	0
754.076s : 	23072	1431	0
755.972s : 	23054	1403	0
755.976s : 	23045	1365	0
755.983s : 	23024	1430	0
755.985s : 	23003	1409	0
757.908s : 	22976	1437	0
759.845s : 	22950	1433	0
761.759s : 	22928	1410	0
763.685s : 	22886	1485	0
765.576s : 	22844	1485	0
767.521s : 	22818	1417	0
769.389s : 	22800	1400	0
771.293s : 	22771	1420	0
773.166s : 	22742	1420	0
774.227s : 	22613	1743	0
776.053s : 	22541	1531	0
777.922s : 	22490	1491	0
779.81s : 	22413	1534	0
781.693s : 	22349	1512	0
783.603s : 	22317	1431	0
785.491s : 	22285	1424	0
787.419s : 	22245	1440	0
787.423s : 	22202	1446	0
789.336s : 	22154	1459	0
791.239s : 	22098	1480	0
793.884s : 	22089	1360	0
793.884s : 	22083	1284	0
793.884s : 	22074	1331	0
793.884s : 	22068	1274	0
793.884s : 	22056	1289	0
793.884s : 	22041	1318	0
793.885s : 	22012	1370	0
794.944s : 	21980	1377	0
794.944s : 	21950	1372	0
794.945s : 	21935	1298	0
796.851s : 	21917	1318	0
798.735s : 	21878	1385	0
800.644s : 	21836	1391	0
800.644s : 	21794	1388	0
802.521s : 	21755	1385	0
804.374s : 	21713	1389	0
806.994s : 	21650	1426	0
808.899s : 	21558	1488	0
810.791s : 	21544	1291	0
812.753s : 	21522	1321	0
814.667s : 	21494	1349	0
816.531s : 	21451	1377	0
