runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
811.162s : 	32679	188	305	1.62234	268435393	1.13621e-06
811.665s : 	32563	186	279	1.5	268435441	1.03936e-06
812.178s : 	32448	184	273	1.4837	268435429	1.017e-06
812.627s : 	32361	183	241	1.31694	268435403	8.97795e-07
813.127s : 	32279	183	267	1.45902	268435377	9.94653e-07
813.615s : 	32225	120	237	1.975	268435426	8.82894e-07
814.125s : 	32156	182	251	1.37912	268435425	9.35048e-07
814.622s : 	32037	180	281	1.56111	268435348	1.04681e-06
815.109s : 	31919	180	304	1.68889	268434792	1.13249e-06
815.606s : 	31805	179	305	1.70391	268435383	1.13621e-06
816.115s : 	31750	112	193	1.72321	268435325	7.18981e-07
816.591s : 	31635	178	295	1.6573	268435421	1.09896e-06
817.062s : 	31515	177	305	1.72316	268435432	1.13621e-06
817.557s : 	31405	177	272	1.53672	268435451	1.01328e-06
818.042s : 	31345	135	211	1.56296	268435334	7.86037e-07
818.525s : 	31220	178	294	1.65169	268435433	1.09524e-06
818.988s : 	31182	83	139	1.6747	268435185	5.17816e-07
819.489s : 	31082	177	295	1.66667	268435423	1.09896e-06
819.999s : 	30969	177	302	1.70621	268435381	1.12504e-06
820.284s : 	30874	176	241	1.36932	268435452	8.97795e-07
820.777s : 	30761	176	276	1.56818	268435431	1.02818e-06
821.278s : 	30648	175	290	1.65714	268435450	1.08033e-06
821.775s : 	30567	175	284	1.62286	268435445	1.05798e-06
822.269s : 	30456	174	292	1.67816	268435443	1.08778e-06
822.779s : 	30378	174	281	1.61494	268435365	1.04681e-06
823.295s : 	30260	174	291	1.67241	268434927	1.08406e-06
823.768s : 	30153	170	255	1.5	268435454	9.49949e-07
824.276s : 	30070	170	284	1.67059	268434739	1.05799e-06
824.768s : 	29985	167	259	1.5509	268435421	9.6485e-07
825.268s : 	29864	171	303	1.77193	268435395	1.12876e-06
825.768s : 	29748	169	259	1.53254	268435378	9.64851e-07
826.256s : 	29628	169	265	1.56805	268435317	9.87202e-07
826.758s : 	29526	169	293	1.73373	268435197	1.09151e-06
827.25s : 	29442	168	297	1.76786	268435433	1.10641e-06
827.755s : 	29343	167	227	1.35928	268435455	8.45641e-07
828.221s : 	29248	166	261	1.57229	268435364	9.72301e-07
828.721s : 	29143	165	267	1.61818	268435451	9.94653e-07
829.288s : 	29138	32	32	1	268435396	1.19209e-07
829.756s : 	29040	164	277	1.68902	268435156	1.03191e-06
830.256s : 	28959	164	274	1.67073	268435286	1.02073e-06
830.729s : 	28864	162	233	1.43827	268435441	8.67993e-07
831.202s : 	28775	162	213	1.31481	268435446	7.93487e-07
831.488s : 	28712	122	161	1.31967	268435427	5.99772e-07
831.987s : 	28681	69	82	1.18841	268422991	3.05488e-07
832.475s : 	28613	163	242	1.48466	268435439	9.0152e-07
832.933s : 	28519	160	218	1.3625	268435438	8.12113e-07
833.421s : 	28437	160	265	1.65625	268435275	9.87203e-07
833.902s : 	28353	159	240	1.50943	268435448	8.9407e-07
834.372s : 	28265	139	193	1.38849	268435428	7.18981e-07
834.881s : 	28174	158	285	1.8038	268435326	1.06171e-06
835.355s : 	28109	158	194	1.22785	268435430	7.22706e-07
835.842s : 	28034	157	280	1.78344	268435426	1.04308e-06
836.328s : 	27995	157	206	1.3121	268435012	7.67411e-07
836.812s : 	27917	173	217	1.25434	268435456	8.08388e-07
837.107s : 	27848	122	171	1.40164	268435454	6.37025e-07
